,instance,method,depth
286,002_100nodes_random3regular.json,LR_PP_angle_opt.json,6
166,002_100nodes_random3regular.json,RTS_MPS.json,6
56,002_100nodes_random3regular.json,RTS_MPSAer.json,6
326,002_100nodes_random3regular.json,RTS_PP.json,6
133,002_100nodes_random3regular.json,TQA_MPS_opt.json,6
99,002_70nodes_erdosrenyi20percent.json,F_MPS.json,6
250,002_70nodes_erdosrenyi20percent.json,I_MPS.json,6
20,002_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
210,002_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
290,002_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
169,002_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
59,002_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
330,002_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
136,002_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
93,002_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
243,002_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
13,002_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
203,002_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
283,002_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
163,002_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
53,002_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
323,002_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
104,003_100nodes_2swap_layers.json,F_MPS.json,6
254,003_100nodes_2swap_layers.json,I_MPS.json,6
25,003_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
214,003_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
294,003_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
174,003_100nodes_2swap_layers.json,RTS_MPS.json,6
64,003_100nodes_2swap_layers.json,RTS_MPSAer.json,6
334,003_100nodes_2swap_layers.json,RTS_PP.json,6
140,003_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
105,003_100nodes_random3regular.json,F_MPS.json,6
255,003_100nodes_random3regular.json,I_MPS.json,6
26,003_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
215,003_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
295,003_100nodes_random3regular.json,LR_PP_angle_opt.json,6
176,003_100nodes_random3regular.json,RTS_MPS.json,6
65,003_100nodes_random3regular.json,RTS_MPSAer.json,6
335,003_100nodes_random3regular.json,RTS_PP.json,6
141,003_100nodes_random3regular.json,TQA_MPS_opt.json,6
81,003_70nodes_erdosrenyi20percent.json,F_MPS.json,6
231,003_70nodes_erdosrenyi20percent.json,I_MPS.json,6
1,003_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
191,003_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
271,003_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
151,003_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
41,003_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
311,003_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
121,003_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
118,003_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
268,003_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
38,003_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
228,003_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
308,003_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
188,003_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
78,003_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
348,003_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
107,004_100nodes_2swap_layers.json,F_MPS.json,6
257,004_100nodes_2swap_layers.json,I_MPS.json,6
27,004_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
217,004_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
297,004_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
177,004_100nodes_2swap_layers.json,RTS_MPS.json,6
67,004_100nodes_2swap_layers.json,RTS_MPSAer.json,6
337,004_100nodes_2swap_layers.json,RTS_PP.json,6
142,004_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
98,004_100nodes_random3regular.json,F_MPS.json,6
248,004_100nodes_random3regular.json,I_MPS.json,6
18,004_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
208,004_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
288,004_100nodes_random3regular.json,LR_PP_angle_opt.json,6
167,004_100nodes_random3regular.json,RTS_MPS.json,6
58,004_100nodes_random3regular.json,RTS_MPSAer.json,6
328,004_100nodes_random3regular.json,RTS_PP.json,6
134,004_100nodes_random3regular.json,TQA_MPS_opt.json,6
116,004_70nodes_erdosrenyi20percent.json,F_MPS.json,6
266,004_70nodes_erdosrenyi20percent.json,I_MPS.json,6
36,004_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
226,004_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
306,004_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
186,004_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
76,004_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
346,004_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
148,004_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
87,004_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
237,004_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
7,004_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
197,004_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
277,004_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
157,004_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
47,004_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
317,004_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
117,005_100nodes_2swap_layers.json,F_MPS.json,6
267,005_100nodes_2swap_layers.json,I_MPS.json,6
37,005_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
227,005_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
307,005_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
187,005_100nodes_2swap_layers.json,RTS_MPS.json,6
77,005_100nodes_2swap_layers.json,RTS_MPSAer.json,6
347,005_100nodes_2swap_layers.json,RTS_PP.json,6
149,005_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
83,005_100nodes_random3regular.json,F_MPS.json,6
233,005_100nodes_random3regular.json,I_MPS.json,6
3,005_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
193,005_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
273,005_100nodes_random3regular.json,LR_PP_angle_opt.json,6
153,005_100nodes_random3regular.json,RTS_MPS.json,6
43,005_100nodes_random3regular.json,RTS_MPSAer.json,6
313,005_100nodes_random3regular.json,RTS_PP.json,6
123,005_100nodes_random3regular.json,TQA_MPS_opt.json,6
90,005_70nodes_erdosrenyi20percent.json,F_MPS.json,6
240,005_70nodes_erdosrenyi20percent.json,I_MPS.json,6
10,005_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
200,005_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
280,005_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
160,005_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
50,005_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
320,005_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
129,005_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
106,005_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
253,005_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
24,005_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
213,005_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
292,005_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
175,005_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
62,005_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
336,005_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
108,006_100nodes_2swap_layers.json,F_MPS.json,6
259,006_100nodes_2swap_layers.json,I_MPS.json,6
28,006_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
218,006_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
299,006_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
179,006_100nodes_2swap_layers.json,RTS_MPS.json,6
68,006_100nodes_2swap_layers.json,RTS_MPSAer.json,6
339,006_100nodes_2swap_layers.json,RTS_PP.json,6
144,006_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
86,006_100nodes_random3regular.json,F_MPS.json,6
235,006_100nodes_random3regular.json,I_MPS.json,6
5,006_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
195,006_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
275,006_100nodes_random3regular.json,LR_PP_angle_opt.json,6
156,006_100nodes_random3regular.json,RTS_MPS.json,6
46,006_100nodes_random3regular.json,RTS_MPSAer.json,6
316,006_100nodes_random3regular.json,RTS_PP.json,6
126,006_100nodes_random3regular.json,TQA_MPS_opt.json,6
94,006_70nodes_erdosrenyi20percent.json,F_MPS.json,6
244,006_70nodes_erdosrenyi20percent.json,I_MPS.json,6
14,006_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
204,006_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
284,006_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
164,006_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
54,006_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
324,006_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
131,006_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
115,006_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
265,006_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
35,006_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
225,006_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
305,006_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
185,006_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
75,006_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
345,006_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
80,007_100nodes_2swap_layers.json,F_MPS.json,6
230,007_100nodes_2swap_layers.json,I_MPS.json,6
0,007_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
190,007_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
270,007_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
150,007_100nodes_2swap_layers.json,RTS_MPS.json,6
40,007_100nodes_2swap_layers.json,RTS_MPSAer.json,6
310,007_100nodes_2swap_layers.json,RTS_PP.json,6
120,007_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
114,007_100nodes_random3regular.json,F_MPS.json,6
264,007_100nodes_random3regular.json,I_MPS.json,6
34,007_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
224,007_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
304,007_100nodes_random3regular.json,LR_PP_angle_opt.json,6
184,007_100nodes_random3regular.json,RTS_MPS.json,6
74,007_100nodes_random3regular.json,RTS_MPSAer.json,6
344,007_100nodes_random3regular.json,RTS_PP.json,6
147,007_100nodes_random3regular.json,TQA_MPS_opt.json,6
112,007_70nodes_erdosrenyi20percent.json,F_MPS.json,6
262,007_70nodes_erdosrenyi20percent.json,I_MPS.json,6
32,007_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
222,007_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
302,007_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
182,007_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
72,007_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
342,007_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
146,007_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
119,007_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
269,007_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
39,007_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
229,007_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
309,007_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
189,007_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
79,007_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
349,007_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
103,008_100nodes_2swap_layers.json,F_MPS.json,6
256,008_100nodes_2swap_layers.json,I_MPS.json,6
22,008_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
216,008_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
296,008_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
173,008_100nodes_2swap_layers.json,RTS_MPS.json,6
63,008_100nodes_2swap_layers.json,RTS_MPSAer.json,6
333,008_100nodes_2swap_layers.json,RTS_PP.json,6
139,008_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
88,008_100nodes_random3regular.json,F_MPS.json,6
