evaluation,method,instance
MPS,FAAer_opt.json,003_100nodes_0swap_layers.json
MPS,FAAer_opt.json,003_100nodes_1swap_layers.json
MPS,FAAer_opt.json,003_40nodes_12swap_layers.json
MPS,FAAer_opt.json,003_40nodes_8swap_layers.json
MPS,FAAer_opt.json,004_40nodes_12swap_layers.json
MPS,FAAer_opt.json,004_40nodes_8swap_layers.json
MPS,FAAer_opt.json,005_40nodes_12swap_layers.json
MPS,FAAer_opt.json,005_40nodes_8swap_layers.json
MPS,FAAer_opt.json,006_40nodes_12swap_layers.json
MPS,FAAer_opt.json,006_40nodes_8swap_layers.json
MPS,FAAer_opt.json,007_40nodes_12swap_layers.json
MPS,FAAer_opt.json,007_40nodes_8swap_layers.json
MPS,FAAer_opt.json,008_40nodes_12swap_layers.json
MPS,FAAer_opt.json,008_40nodes_8swap_layers.json
MPS,FAAer_opt.json,009_40nodes_12swap_layers.json
MPS,FAAer_opt.json,009_40nodes_8swap_layers.json
MPS,IAer.json,000_100nodes_0swap_layers.json
MPS,IAer.json,000_100nodes_1swap_layers.json
MPS,IAer.json,000_100nodes_3swap_layers.json
MPS,IAer.json,000_100nodes_4swap_layers.json
MPS,IAer.json,000_40nodes_12swap_layers.json
MPS,IAer.json,000_40nodes_8swap_layers.json
MPS,IAer.json,001_100nodes_0swap_layers.json
MPS,IAer.json,001_100nodes_1swap_layers.json
MPS,IAer.json,001_100nodes_3swap_layers.json
MPS,IAer.json,001_100nodes_4swap_layers.json
MPS,IAer.json,001_40nodes_12swap_layers.json
MPS,IAer.json,001_40nodes_8swap_layers.json
MPS,IAer.json,002_100nodes_0swap_layers.json
MPS,IAer.json,002_100nodes_1swap_layers.json
MPS,IAer.json,002_100nodes_3swap_layers.json
MPS,IAer.json,002_100nodes_4swap_layers.json
MPS,IAer.json,002_40nodes_12swap_layers.json
MPS,IAer.json,002_40nodes_8swap_layers.json
MPS,IAer.json,003_100nodes_0swap_layers.json
MPS,IAer.json,003_100nodes_1swap_layers.json
MPS,IAer.json,003_40nodes_12swap_layers.json
MPS,IAer.json,003_40nodes_8swap_layers.json
MPS,IAer.json,004_40nodes_12swap_layers.json
MPS,IAer.json,004_40nodes_8swap_layers.json
MPS,IAer.json,005_40nodes_12swap_layers.json
MPS,IAer.json,005_40nodes_8swap_layers.json
