,instance,method,depth
320,001_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
315,001_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
428,001_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
75,001_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
114,001_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_no_opt.json,6
464,001_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
278,001_7_3_heavyhex_144nodes_weighted.json,LR_MPS_no_opt.json,6
234,001_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
194,001_7_3_heavyhex_144nodes_weighted.json,LR_PP_no_opt.json,6
384,001_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
35,001_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
155,001_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
316,002_100nodes_2swap_layers.json,F_MPS.json,6
427,002_100nodes_2swap_layers.json,I_MPS.json,6
76,002_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
117,002_100nodes_2swap_layers.json,LR_MPSAer_no_opt.json,6
467,002_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
277,002_100nodes_2swap_layers.json,LR_MPS_no_opt.json,6
237,002_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
197,002_100nodes_2swap_layers.json,LR_PP_no_opt.json,6
387,002_100nodes_2swap_layers.json,RTS_MPS.json,6
36,002_100nodes_2swap_layers.json,RTS_MPSAer.json,6
157,002_100nodes_2swap_layers.json,RTS_PP.json,6
348,002_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
318,002_100nodes_random3regular.json,F_MPS.json,6
424,002_100nodes_random3regular.json,I_MPS.json,6
78,002_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
115,002_100nodes_random3regular.json,LR_MPSAer_no_opt.json,6
465,002_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
274,002_100nodes_random3regular.json,LR_MPS_no_opt.json,6
235,002_100nodes_random3regular.json,LR_PP_angle_opt.json,6
195,002_100nodes_random3regular.json,LR_PP_no_opt.json,6
385,002_100nodes_random3regular.json,RTS_MPS.json,6
38,002_100nodes_random3regular.json,RTS_MPSAer.json,6
158,002_100nodes_random3regular.json,RTS_PP.json,6
347,002_100nodes_random3regular.json,TQA_MPS_opt.json,6
281,002_70nodes_erdosrenyi20percent.json,F_MPS.json,6
391,002_70nodes_erdosrenyi20percent.json,I_MPS.json,6
41,002_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
81,002_70nodes_erdosrenyi20percent.json,LR_MPSAer_no_opt.json,6
431,002_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
241,002_70nodes_erdosrenyi20percent.json,LR_MPS_no_opt.json,6
201,002_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
161,002_70nodes_erdosrenyi20percent.json,LR_PP_no_opt.json,6
351,002_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
1,002_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
121,002_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
321,002_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
301,002_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
411,002_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
61,002_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
101,002_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_no_opt.json,6
451,002_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
261,002_7_3_heavyhex_144nodes_weighted.json,LR_MPS_no_opt.json,6
221,002_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
181,002_7_3_heavyhex_144nodes_weighted.json,LR_PP_no_opt.json,6
371,002_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
21,002_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
141,002_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
287,003_100nodes_2swap_layers.json,F_MPS.json,6
397,003_100nodes_2swap_layers.json,I_MPS.json,6
47,003_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
87,003_100nodes_2swap_layers.json,LR_MPSAer_no_opt.json,6
437,003_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
247,003_100nodes_2swap_layers.json,LR_MPS_no_opt.json,6
207,003_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
167,003_100nodes_2swap_layers.json,LR_PP_no_opt.json,6
357,003_100nodes_2swap_layers.json,RTS_MPS.json,6
7,003_100nodes_2swap_layers.json,RTS_MPSAer.json,6
127,003_100nodes_2swap_layers.json,RTS_PP.json,6
326,003_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
294,003_100nodes_random3regular.json,F_MPS.json,6
404,003_100nodes_random3regular.json,I_MPS.json,6
54,003_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
94,003_100nodes_random3regular.json,LR_MPSAer_no_opt.json,6
444,003_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
254,003_100nodes_random3regular.json,LR_MPS_no_opt.json,6
214,003_100nodes_random3regular.json,LR_PP_angle_opt.json,6
174,003_100nodes_random3regular.json,LR_PP_no_opt.json,6
364,003_100nodes_random3regular.json,RTS_MPS.json,6
14,003_100nodes_random3regular.json,RTS_MPSAer.json,6
134,003_100nodes_random3regular.json,RTS_PP.json,6
331,003_100nodes_random3regular.json,TQA_MPS_opt.json,6
307,003_70nodes_erdosrenyi20percent.json,F_MPS.json,6
417,003_70nodes_erdosrenyi20percent.json,I_MPS.json,6
66,003_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
106,003_70nodes_erdosrenyi20percent.json,LR_MPSAer_no_opt.json,6
456,003_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
267,003_70nodes_erdosrenyi20percent.json,LR_MPS_no_opt.json,6
227,003_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
187,003_70nodes_erdosrenyi20percent.json,LR_PP_no_opt.json,6
376,003_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
26,003_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
147,003_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
341,003_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
306,003_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
416,003_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
67,003_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
107,003_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_no_opt.json,6
457,003_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
266,003_7_3_heavyhex_144nodes_weighted.json,LR_MPS_no_opt.json,6
226,003_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
186,003_7_3_heavyhex_144nodes_weighted.json,LR_PP_no_opt.json,6
